2021-06-22 11:19:50,304 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | SQL Warning Code: 0, SQLState: 00000
2021-06-22 11:19:50,306 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | relation "roles_privileges" does not exist, skipping
2021-06-22 11:19:50,311 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | SQL Warning Code: 0, SQLState: 00000
2021-06-22 11:19:50,311 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | relation "roles_privileges" does not exist, skipping
2021-06-22 11:19:50,316 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | SQL Warning Code: 0, SQLState: 00000
2021-06-22 11:19:50,318 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | relation "users_roles" does not exist, skipping
2021-06-22 11:19:50,324 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | SQL Warning Code: 0, SQLState: 00000
2021-06-22 11:19:50,325 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | relation "users_roles" does not exist, skipping
2021-06-22 11:19:50,342 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | SQL Warning Code: 0, SQLState: 00000
2021-06-22 11:19:50,342 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | table "certificate_model" does not exist, skipping
2021-06-22 11:19:50,346 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | SQL Warning Code: 0, SQLState: 00000
2021-06-22 11:19:50,347 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | table "confirmation_token" does not exist, skipping
2021-06-22 11:19:50,352 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | SQL Warning Code: 0, SQLState: 00000
2021-06-22 11:19:50,353 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | table "password_reset_token" does not exist, skipping
2021-06-22 11:19:50,356 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | SQL Warning Code: 0, SQLState: 00000
2021-06-22 11:19:50,357 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | table "privilege" does not exist, skipping
2021-06-22 11:19:50,360 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | SQL Warning Code: 0, SQLState: 00000
2021-06-22 11:19:50,361 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | table "revoked_certificates" does not exist, skipping
2021-06-22 11:19:50,364 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | SQL Warning Code: 0, SQLState: 00000
2021-06-22 11:19:50,364 | WARN | org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler | table "role" does not exist, skipping
